filename,width,height,class,xmin,ymin,xmax,ymax
3xuz36.jpg,1920,1080,cheques,1222,596,1771,853
3xuz22.jpg,1920,1080,cheques,306,246,845,499
3xuz22.jpg,1920,1080,cheques,1093,393,1636,648
3xuz23.jpg,1920,1080,cheques,407,79,943,335
3xuz23.jpg,1920,1080,cheques,456,702,993,953
3xuz37.jpg,1920,1080,cheques,365,259,903,514
3xuz37.jpg,1920,1080,cheques,406,659,947,920
3xuz37.jpg,1920,1080,cheques,1281,4,1821,264
3xuz21.jpg,1920,1080,cheques,1028,61,1565,316
3xuz21.jpg,1920,1080,cheques,456,403,995,661
3xuz21.jpg,1920,1080,cheques,1195,431,1732,692
3xuz35.jpg,1920,1080,cheques,503,91,1045,345
3xuz35.jpg,1920,1080,cheques,690,377,1234,629
3xuz35.jpg,1920,1080,cheques,1345,529,1881,782
3xuz34.jpg,1920,1080,cheques,374,209,913,459
3xuz34.jpg,1920,1080,cheques,410,468,946,725
3xuz34.jpg,1920,1080,cheques,1109,717,1645,974
3xuz20.jpg,1920,1080,cheques,1234,13,1774,268
3xuz20.jpg,1920,1080,cheques,631,248,1175,503
3xuz20.jpg,1920,1080,cheques,928,767,1457,1017
3xuz18.jpg,1920,1080,cheques,497,49,1036,303
3xuz18.jpg,1920,1080,cheques,257,706,793,959
3xuz18.jpg,1920,1080,cheques,1292,303,1832,557
3xuz24.jpg,1920,1080,cheques,307,149,846,410
3xuz24.jpg,1920,1080,cheques,331,816,868,1071
3xuz30.jpg,1920,1080,cheques,132,306,675,561
3xuz30.jpg,1920,1080,cheques,1136,60,1671,320
3xuz30.jpg,1920,1080,cheques,586,711,1125,968
3xuz31.jpg,1920,1080,cheques,786,302,1321,552
3xuz25.jpg,1920,1080,cheques,531,45,1075,288
3xuz25.jpg,1920,1080,cheques,754,493,1289,731
3xuz25.jpg,1920,1080,cheques,925,760,1464,1007
3xuz19.jpg,1920,1080,cheques,1181,617,1718,870
3xuz33.jpg,1920,1080,cheques,513,124,1054,385
3xuz33.jpg,1920,1080,cheques,324,507,867,761
3xuz33.jpg,1920,1080,cheques,167,788,710,1045
3xuz27.jpg,1920,1080,cheques,447,177,985,428
